dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,15,M=32,267.2421875,153.2088165283203,265.3937075570243,150.47346593177562,1.8484799429757004,2.7353505965446914
exp5,4,15,M=512,267.0305786132812,151.8129119873047,265.3937075570243,150.47346593177562,1.6368710562568936,1.3394460555290664
exp5,4,15,M=8,266.5020751953125,161.4207916259766,265.3937075570243,150.47346593177562,1.1083676382882004,10.94732569420097
exp5,4,15,R=1,267.3485107421875,152.2413330078125,265.3937075570243,150.47346593177562,1.9548031851632004,1.7678670760368789
exp5,4,15,R=16,267.0153198242188,151.7052612304688,265.3937075570243,150.47346593177562,1.6216122671945072,1.2317952986931857
exp5,4,15,R=256,267.1172790527344,151.9894256591797,265.3937075570243,150.47346593177562,1.7235714957100754,1.5159597274040664
exp5,4,15,R=4,267.090087890625,151.8128967285156,265.3937075570243,150.47346593177562,1.6963803336007004,1.3394307967399754
exp5,4,15,R=64,267.1598205566406,151.783203125,265.3937075570243,150.47346593177562,1.7661129996163254,1.3097371932243789
exp5,4,15,Spline-ETO,269.2718505859375,151.4497375488281,265.3937075570243,150.47346593177562,3.8781430289132004,0.9762716170524754
exp5,4,15,Spline-QFR,273.7652893066406,155.6202545166016,265.3937075570243,150.47346593177562,8.371581749616325,5.14678858482597
exp5,4,15,lambda=0.1,266.7147216796875,188.9084777832031,265.3937075570243,150.47346593177562,1.3210141226632004,38.435011851427475
exp5,4,15,lambda=0.3,266.918701171875,163.1237640380859,265.3937075570243,150.47346593177562,1.5249936148507004,12.650298106310288
exp5,4,15,lambda=0.5,267.0153198242188,151.7052612304688,265.3937075570243,150.47346593177562,1.6216122671945072,1.2317952986931857
exp5,4,15,lambda=0.7,267.5088806152344,151.6522521972656,265.3937075570243,150.47346593177562,2.1151730582100754,1.1787862654899754
exp5,4,15,lambda=0.9,268.3521423339844,151.7925720214844,265.3937075570243,150.47346593177562,2.9584347769600754,1.3191060897087823
exp5,4,18,ERM,187.2592179135984,226.55887297602504,186.98379312129265,140.28438933923564,0.2754247923057562,86.2744836367894
exp5,4,18,ERM-NN,187.27747010646968,225.31465424770408,186.98379312129265,140.28438933923564,0.29367698517702934,85.03026490846844
