data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
exp5,19,36,oracle_gmm,387.6345343893205,415.9238758956343,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,32,end_to_end,232.65327033402016,1016.5757908037116,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,32,erm,225.62689049945195,994.2032183278984,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,32,lightgbm,225.89244516364937,993.1192208532232,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,32,oracle_gmm,225.55516490713927,652.7192311689968,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,29,end_to_end,566.2450152950145,439.9860964246484,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,29,erm,562.5635305347979,437.3331709059545,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,29,lightgbm,563.8331465280173,437.9918865842705,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,29,oracle_gmm,562.4419073157538,394.01432521237155,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,18,end_to_end,516.9195154471563,1160.1806236712307,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,18,erm,511.5394988242738,1213.8045973428527,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,18,lightgbm,524.6441370432372,1117.6372633618223,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,18,oracle_gmm,511.2175992592605,409.4972185532571,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,19,14,end_to_end,68.43720412447426,290.08443543596474,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,14,erm,67.44437104381426,285.4980686526666,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,14,lightgbm,67.78811725325508,285.26413950209525,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,14,oracle_gmm,67.34881731656797,208.28498853938697,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
