dataset,dim,random_state,simulation_num,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight,ipa_batched_gradient_variance,weighted_ipa_batched_gradient_variance
van_havre,4,36,16,rseto_ipa_R16,284.4351501464844,156.03811645507812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,12.347505569458008,0.0004096717166248,3.513901710510254,13.15381908416748,0.0713633969426155,18.665675163269043,0.0024860818853734,8.0,16.0,16.0,137.0,30036.0,30140.0,3.086876392364502,0.5,12.347505569458008,3.086876392364502
van_havre,4,36,64,rseto_ipa_R64,284.8516845703125,153.90769958496094,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,1.178504228591919,3.9101003494579345e-05,1.0855892896652222,13.542253494262695,0.006426126230508,18.677587270736694,0.0017147168945744,8.0,16.0,64.0,137.0,30036.0,30140.0,0.2946260571479797,0.5,1.178504228591919,0.2946260571479797
van_havre,4,36,256,rseto_ipa_R256,284.819580078125,154.56564331054688,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,c15030643543841d4a8db666e6c0621334405f908e70f2724ae9e5a9765cc01d,0.326198935508728,1.0822791409736963e-05,0.5711382627487183,13.70156478881836,0.0017375695751979,18.690474033355713,0.0006145754042725,8.0,16.0,256.0,137.0,30036.0,30140.0,0.081549733877182,0.5,0.326198935508728,0.081549733877182
van_havre,4,32,1,rseto_ipa_R1,278.1440734863281,168.62158203125,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,0.041056640446186,1.3621977359434825e-06,0.2026243805885315,1.94455087184906,0.010857873596251,3.653318852186203,3.510502636925951e-05,8.0,16.0,1.0,137.0,30032.0,30140.0,0.0102641601115465,0.5,0.041056640446186,0.0102641601115465
van_havre,4,32,4,rseto_ipa_R4,278.1806640625,167.70216369628906,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,0.0735977739095687,2.4418636712653097e-06,0.2712891101837158,2.1081674098968506,0.0165597759187221,3.649854838848114,9.384136818977951e-06,8.0,16.0,4.0,137.0,30032.0,30140.0,0.0183994434773921,0.5,0.0735977739095687,0.0183994434773921
van_havre,4,32,16,rseto_ipa_R16,278.1894836425781,166.82810974121094,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,0.0180636420845985,5.993245508761902e-07,0.1344010531902313,2.0841493606567383,0.0041586048901081,3.6500108540058136,8.422447770328745e-06,8.0,16.0,16.0,137.0,30032.0,30140.0,0.0045159105211496,0.5,0.0180636420845985,0.0045159105211496
van_havre,4,32,64,rseto_ipa_R64,278.0745849609375,168.308837890625,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,0.0036731692962348,1.218702436744934e-07,0.0606066770851612,2.1068897247314453,0.0008274797582998,3.651833444833755,3.239744523446981e-07,8.0,16.0,64.0,137.0,30032.0,30140.0,0.0009182923240587,0.5,0.0036731692962348,0.0009182923240587
van_havre,4,32,256,rseto_ipa_R256,278.1542663574219,168.00709533691406,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,0.0013914229348301,4.6165325784386375e-08,0.0373017825186252,2.0987792015075684,0.000315882556606,3.650785356760025,1.0837533983882558e-06,8.0,16.0,256.0,137.0,30032.0,30140.0,0.0003478557337075,0.5,0.0013914229348301,0.0003478557337075
van_havre,4,29,1,rseto_ipa_R1,312.8349304199219,158.97120666503906,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,0.10841054469347,3.596899205149384e-06,0.3292575776576996,3.5581319332122803,0.0085630295798182,3.492160350084305,0.0008758034348283,8.0,16.0,1.0,137.0,30029.0,30140.0,0.0271026361733675,0.5,0.10841054469347,0.0271026361733675
van_havre,4,29,4,rseto_ipa_R4,318.550048828125,158.48049926757812,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,0.0312386490404605,1.0364515219407622e-06,0.1767445802688598,3.2294468879699707,0.0029952698387205,3.4533614218235016,0.000148640068004,8.0,16.0,4.0,137.0,30029.0,30140.0,0.0078096622601151,0.5,0.0312386490404605,0.0078096622601151
van_havre,4,29,16,rseto_ipa_R16,313.12945556640625,159.0460662841797,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,0.0121823800727725,4.041930878884159e-07,0.110373817384243,3.397106885910034,0.0010556349297985,3.48035192489624,5.16113946754818e-05,8.0,16.0,16.0,137.0,30029.0,30140.0,0.0030455950181931,0.5,0.0121823800727725,0.0030455950181931
van_havre,4,29,64,rseto_ipa_R64,314.90283203125,158.81195068359375,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,0.0030025530140846,9.962020897091861e-08,0.0547955557703971,3.367189407348633,0.0002648229128681,3.4681529104709625,1.0729414919450975e-05,8.0,16.0,64.0,137.0,30029.0,30140.0,0.0007506382535211,0.5,0.0030025530140846,0.0007506382535211
van_havre,4,29,256,rseto_ipa_R256,315.3663330078125,158.608154296875,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,0.0009470938821323,3.142315563309239e-08,0.0307748895138502,3.3845419883728027,8.267862722277641e-05,3.464021384716034,3.239161267336905e-06,8.0,16.0,256.0,137.0,30029.0,30140.0,0.000236773470533,0.5,0.0009470938821323,0.000236773470533
van_havre,4,18,1,rseto_ipa_R1,303.5260009765625,154.05563354492188,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,0.34709632396698,1.151613560068654e-05,0.5891488194465637,3.622639417648315,0.0264484249055385,3.2861735224723816,0.0011271887032039,8.0,16.0,1.0,137.0,30018.0,30140.0,0.086774080991745,0.5,0.34709632396698,0.086774080991745
van_havre,4,18,4,rseto_ipa_R4,303.6781311035156,154.11422729492188,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,0.0626381039619445,2.0782383671758e-06,0.2502760589122772,3.745612382888794,0.0044647068716585,3.271995037794113,0.000202248232336,8.0,16.0,4.0,137.0,30018.0,30140.0,0.0156595259904861,0.5,0.0626381039619445,0.0156595259904861
van_havre,4,18,16,rseto_ipa_R16,303.5602722167969,154.38009643554688,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,0.0209261216223239,6.942973413970321e-07,0.1446586400270462,3.781546115875244,0.0014633557293564,3.268133223056793,4.864294228923427e-05,8.0,16.0,16.0,137.0,30018.0,30140.0,0.0052315304055809,0.5,0.0209261216223239,0.0052315304055809
van_havre,4,18,64,rseto_ipa_R64,303.5163269042969,154.2084197998047,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,0.009184842929244,3.04739302237067e-07,0.0958375856280326,3.7961912155151367,0.0006373464711941,3.2697054743766785,9.48584978540826e-06,8.0,16.0,64.0,137.0,30018.0,30140.0,0.002296210732311,0.5,0.009184842929244,0.002296210732311
van_havre,4,18,256,rseto_ipa_R256,303.4659729003906,154.07334899902344,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,0.0045614428818225,1.513418368404018e-07,0.0675384551286697,3.772876739501953,0.0003204476088285,3.269684135913849,6.8180336703400305e-06,8.0,16.0,256.0,137.0,30018.0,30140.0,0.0011403607204556,0.5,0.0045614428818225,0.0011403607204556
van_havre,4,14,1,rseto_ipa_R1,287.97015380859375,171.97125244140625,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,0.0207943394780159,6.899250024616776e-07,0.1442024260759353,1.7122526168823242,0.0070926644839346,3.801662802696228,6.046289885424423e-05,8.0,16.0,1.0,137.0,30014.0,30140.0,0.0051985848695039,0.5,0.0207943394780159,0.0051985848695039
van_havre,4,14,4,rseto_ipa_R4,287.9752502441406,171.82830810546875,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,0.0020736900623887,6.880192415792409e-08,0.0455377884209156,1.6538983583450315,0.0007580995443277,3.806084990501404,7.522057379511742e-06,8.0,16.0,4.0,137.0,30014.0,30140.0,0.0005184225155971,0.5,0.0020736900623887,0.0005184225155971
van_havre,4,14,16,rseto_ipa_R16,288.0516357421875,171.74826049804688,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,0.0004968055291101,1.6483262754718453e-08,0.0222891345620155,1.6731531620025637,0.0001774659613147,3.804054319858551,6.4359343850485724e-06,8.0,16.0,16.0,137.0,30014.0,30140.0,0.0001242013822775,0.5,0.0004968055291101,0.0001242013822775
van_havre,4,14,64,rseto_ipa_R64,288.06683349609375,171.80056762695312,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,0.0003579085168894,1.187486819986816e-08,0.0189184695482254,1.6549252271652222,0.0001306818448938,3.8046470880508423,2.275612977038171e-06,8.0,16.0,64.0,137.0,30014.0,30140.0,8.947712922235951e-05,0.5,0.0003579085168894,8.947712922235951e-05
van_havre,4,14,256,rseto_ipa_R256,288.09625244140625,171.57763671875,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,6.963971827644855e-05,2.310541313832459e-09,0.008345041424036,1.67191481590271,2.4913153538363982e-05,3.804080188274383,4.142376732423665e-07,8.0,16.0,256.0,137.0,30014.0,30140.0,1.7409929569112137e-05,0.5,6.963971827644855e-05,1.7409929569112137e-05
van_havre,4,87,1,rseto_ipa_R1,272.1728210449219,167.10037231445312,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,1.2631596326828003,4.190974141238257e-05,1.123903751373291,2.322584629058838,0.2341613173484802,3.658652365207672,0.0002386561311555,8.0,16.0,1.0,137.0,30087.0,30140.0,0.3157899081707001,0.5,1.2631596326828003,0.3157899081707001
van_havre,4,87,4,rseto_ipa_R4,272.0473937988281,167.29705810546875,4.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,0.0453473702073097,1.5045577583805423e-06,0.2129492163658142,2.009279727935791,0.0112323686480522,3.6642519533634186,0.0001406785873661,8.0,16.0,4.0,137.0,30087.0,30140.0,0.0113368425518274,0.5,0.0453473702073097,0.0113368425518274
van_havre,4,87,16,rseto_ipa_R16,272.09393310546875,167.53176879882812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,0.0132268033921718,4.388454897252814e-07,0.1150078400969505,2.013895034790039,0.003261228557676,3.66509661078453,3.148538980468629e-05,8.0,16.0,16.0,137.0,30087.0,30140.0,0.0033067008480429,0.5,0.0132268033921718,0.0033067008480429
van_havre,4,87,64,rseto_ipa_R64,272.04400634765625,167.72509765625,64.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,0.00672970386222,2.2328147508687834e-07,0.0820347741246223,1.9711875915527344,0.0017319688340649,3.665989309549332,7.154853342683509e-06,8.0,16.0,64.0,137.0,30087.0,30140.0,0.001682425965555,0.5,0.00672970386222,0.001682425965555
van_havre,4,87,256,rseto_ipa_R256,272.0490417480469,167.45741271972656,256.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,0.0016057436587288,5.327616747763386e-08,0.0400717295706272,1.9810023307800293,0.000409172323998,3.664781868457794,2.281506234729542e-07,8.0,16.0,256.0,137.0,30087.0,30140.0,0.0004014359146822,0.5,0.0016057436587288,0.0004014359146822
van_havre,9,82,1,rseto_ipa_R1,281.8588562011719,193.79673767089844,1.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,0.776707112789154,2.4720149667700753e-05,0.8813098669052124,2.4219343662261963,0.1324135959148407,3.5658147633075714,0.0007394006893497,8.0,16.0,1.0,137.0,30082.0,31420.0,0.1941767781972885,0.5,0.776707112789154,0.1941767781972885
