dataset,dim,random_state,lambda,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,9,82,0.5,rseto_ipa_lambda0.5,281.8492431640625,189.07171630859375,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,82,0.7,rseto_ipa_lambda0.7,282.9178771972656,186.2579803466797,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,82,0.9,rseto_ipa_lambda0.9,288.64862060546875,184.40443420410156,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,15,0.1,rseto_ipa_lambda0.1,258.7857666015625,205.10989379882812,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,0.3,rseto_ipa_lambda0.3,259.01708984375,169.88180541992188,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,0.5,rseto_ipa_lambda0.5,259.2777404785156,163.1215362548828,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,0.7,rseto_ipa_lambda0.7,259.83721923828125,160.2064208984375,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,0.9,rseto_ipa_lambda0.9,265.8888854980469,157.42205810546875,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,4,0.1,rseto_ipa_lambda0.1,296.5687561035156,211.20944213867188,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,0.3,rseto_ipa_lambda0.3,297.33642578125,162.27455139160156,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,0.5,rseto_ipa_lambda0.5,300.30303955078125,157.7053985595703,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,0.7,rseto_ipa_lambda0.7,312.87188720703125,155.09066772460938,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,0.9,rseto_ipa_lambda0.9,354.8492126464844,153.85093688964844,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,95,0.1,rseto_ipa_lambda0.1,276.197998046875,253.5645294189453,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,0.3,rseto_ipa_lambda0.3,276.71295166015625,203.768310546875,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,0.5,rseto_ipa_lambda0.5,277.2599182128906,192.02574157714844,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,0.7,rseto_ipa_lambda0.7,278.6730651855469,190.764892578125,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,0.9,rseto_ipa_lambda0.9,309.4373474121094,189.38961791992188,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,36,0.1,rseto_ipa_lambda0.1,286.0197448730469,976.2633666992188,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,0.3,rseto_ipa_lambda0.3,286.95263671875,322.7469177246094,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,0.5,rseto_ipa_lambda0.5,287.8806457519531,188.59608459472656,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,0.7,rseto_ipa_lambda0.7,298.4513854980469,153.0709228515625,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,0.9,rseto_ipa_lambda0.9,307.278564453125,151.216796875,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,32,0.1,rseto_ipa_lambda0.1,265.637451171875,247.5342254638672,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,0.3,rseto_ipa_lambda0.3,271.1746826171875,179.76300048828125,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,0.5,rseto_ipa_lambda0.5,273.8505554199219,165.78102111816406,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,0.7,rseto_ipa_lambda0.7,278.1709899902344,164.36363220214844,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,0.9,rseto_ipa_lambda0.9,299.8357849121094,163.22633361816406,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,29,0.1,rseto_ipa_lambda0.1,299.1593322753906,218.0043487548828,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,29,0.3,rseto_ipa_lambda0.3,301.0361633300781,171.568603515625,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
