dataset,dim,random_state,m,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,4,32,512,rseto_ipa_m512,278.14202880859375,166.58734130859375,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,32,2048,rseto_ipa_m2048,277.9132995605469,167.59344482421875,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,d5901b2c3c3d992b5c347bd1114d8242fffb989fc7e0d1798453a3132763db63,,,,,,,,,,,,,,,
van_havre,4,29,8,rseto_ipa_m8,313.5804138183594,219.3638458251953,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,32,rseto_ipa_m32,315.54473876953125,171.89999389648438,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,128,rseto_ipa_m128,313.12945556640625,159.0460662841797,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,512,rseto_ipa_m512,322.1845703125,157.10227966308594,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,29,2048,rseto_ipa_m2048,322.6885986328125,156.76931762695312,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,3e39b6de17e4e080040a7b701168cc86fe66b51f5ba928609afedac82929b310,,,,,,,,,,,,,,,
van_havre,4,18,8,rseto_ipa_m8,301.796630859375,206.54342651367188,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,32,rseto_ipa_m32,301.934326171875,164.690185546875,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,128,rseto_ipa_m128,303.5602722167969,154.38009643554688,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,512,rseto_ipa_m512,303.5609130859375,153.93910217285156,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,18,2048,rseto_ipa_m2048,304.1719970703125,153.47463989257812,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,b30e1babd83d63a26b77f1622fe0c348dc64dcd77977229559a4562297ae76f9,,,,,,,,,,,,,,,
van_havre,4,14,8,rseto_ipa_m8,287.7167053222656,216.3025054931641,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,32,rseto_ipa_m32,287.8350830078125,174.79727172851562,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,128,rseto_ipa_m128,288.0516357421875,171.74826049804688,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,512,rseto_ipa_m512,287.830078125,171.38824462890625,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,14,2048,rseto_ipa_m2048,287.8330383300781,171.5321807861328,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,30c1607e9c61ee54818777568e3949928a94d9503ceec9ad92606329be6d6f55,,,,,,,,,,,,,,,
van_havre,4,87,8,rseto_ipa_m8,271.0946350097656,215.9920959472656,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,32,rseto_ipa_m32,271.5750732421875,173.7098388671875,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,128,rseto_ipa_m128,272.09393310546875,167.53176879882812,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,512,rseto_ipa_m512,272.00634765625,166.7562255859375,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,4,87,2048,rseto_ipa_m2048,271.9932556152344,166.60191345214844,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,df256ef83b1b901a2ea72a4cbd34b84ce1ac5d13cad65ddc7ad59bbb13fb932b,,,,,,,,,,,,,,,
van_havre,9,82,8,rseto_ipa_m8,281.5854187011719,260.02960205078125,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,82,32,rseto_ipa_m32,282.17578125,205.04440307617188,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,82,128,rseto_ipa_m128,281.8492431640625,189.07171630859375,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,82,512,rseto_ipa_m512,282.42547607421875,189.79409790039065,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
