data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
van-havre,9,14,erm,262.61811017463776,1259.377316048883,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,14,lightgbm,304.22614059686896,987.0158451992546,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,14,oracle_gmm,257.9956088185214,160.78456233673492,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,87,end_to_end,260.86077228454167,1287.9753568388028,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,87,erm,258.316209646386,1297.2870160504042,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,87,lightgbm,290.45347585100535,1050.4975818476498,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,9,87,oracle_gmm,256.99865932500177,156.0568535022041,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,82,end_to_end,263.42446755402096,1167.1029664651282,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,82,erm,258.77970630725775,1168.8765801281615,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,82,lightgbm,298.0222279487848,979.855888623368,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,82,oracle_gmm,257.94926075725715,177.55873878371813,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,15,end_to_end,258.56733984607524,1520.983475589229,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,15,erm,257.51100172863215,1515.801133305346,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,15,lightgbm,294.8518054483589,1247.3251130402598,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
